Player,race,Pos,height,wingspan,birth year,birth month,start,hometown,high school state,college,college state
Quincy Acy,0,PF,200.7,220.3,1990,10,2013,Texas,Texas,Baylor University,Texas
Jordan Adams,0,SG,195.6,208.3,1994,7,2015,Georgia,Georgia,"University of California, Los Angeles",California
Steven Adams,1,C,213.4,224.8,1993,7,2014,New zealand,New zealand,University of Pittsburgh,Pennsylvania 
Jeff Adrien,0,PF,200.7,218.4,1986,2,2011,Massachusetts,Massachusetts,University of Connecticut,Connecticut 
Alexis Ajinca,1,C,218.0,236.0,1988,5,2009,France,France,0,0
Furkan Aldemir,1,PF,208.3,226.1,1991,8,2015,Turkey,Turkey,0,0
Cole Aldrich,1,C,210.8,225.4,1988,10,2011,Minnesota,Minnesota,University of Kansas,Kansas
LaMarcus Aldridge,0,C,210.8,225.4,1985,7,2007,Texas,Texas,University of Texas at Austin,Texas
Lavoy Allen,0,PF,205.7,221.0,1989,2,2012,Pennsylvania ,Pennsylvania,Temple University,Pennsylvania
Tony Allen,0,SF,193.0,205.7,1982,1,2005,Illinois,Illinois,Oklahoma State University,Oklahoma 
Al-Farouq Aminu,0,PF,205.7,221.6,1990,9,2011,Georgia,Georgia,Wake Forest University,North Carolina
Chris Andersen,2,C,208.3,213.4,1978,7,2002,California,Texas,Blinn College,Texas
Alan Anderson,0,SF,198.0,0.0,1982,10,2005,Minnesota,Minnesota,Michigan State University,Michigan
Kyle Anderson,3,SF,205.7,221.0,1993,9,2015,New York,New York,"University of California, Los Angeles",California
Ryan Anderson,2,PF,208.3,213.4,1988,5,2009,California,California,University of California,California
Giannis Antetokounmpo,0,PF,211.0,221.0,1994,12,2014,Greece,Greece,0,0
Carmelo Anthony,0,PF,203.2,213.4,1984,5,2004,New York,New York,Syracuse University,New York
Joel Anthony,0,C,205.7,0.0,1982,8,2008,Canada,Canada,"University of Nevada, Las Vegas",Nevada
Pero Antic,1,C,210.8,0.0,1982,7,2014,Macedonia,Macedonia,0,0
Trevor Ariza,0,SF,203.2,218.4,1985,6,2005,California,California,"University of California, Los Angeles",California
Darrell Arthur,0,PF,205.7,210.2,1988,3,2009,Texas,Texas,University of Kansas,Kansas
Jeff Ayres,2,PF,205.7,215.9,1987,4,2010,California,California,Arizona State University,Arizona
Luke Babbitt,1,SF,205.7,211.5,1989,6,2011,Ohio,Nevada,"University of Nevada, Reno",Nevada
Leandro Barbosa,0,SG,190.0,0.0,1982,11,2004,Brazil,Brazil,0,0
Andrea Bargnani,1,C,213.0,0.0,1985,10,2013,Italy,Italy,0,0
Harrison Barnes,0,PF,203.2,211.5,1992,5,2013,Iowa,Iowa,University of North Carolina,North Carolina
Matt Barnes,2,SF,200.7,205.7,1980,3,2004,California,California,"University of California, Los Angeles",California
Brandon Bass,0,PF,219.7,203.2,1985,4,2006,Louisiana,Louisiana,Louisiana State University,Louisiana
Nicolas Batum,1,SF,203.2,0.0,1988,12,2009,France,France,0,0
Jerryd Bayless,0,PG,190.5,191.8,1988,8,2009,Arizona,Arizona,University of Arizona,Arizona
